time_spent_minutes,scroll_speed,rereads,backtracking,quiz_attempts,hesitation_time_seconds,accuracy,cognitive_load
21.5,3.97,0,1,1,6.7,97.3,LOW
59.5,1.93,8,3,3,21.4,58.5,HIGH
19.0,3.95,0,1,1,2.4,83.0,LOW
35.3,3.08,1,3,2,12.9,71.3,MEDIUM
44.6,1.74,10,6,3,20.4,53.7,HIGH
66.1,1.59,3,6,2,15.2,39.9,HIGH
57.2,2.08,3,5,3,22.6,55.9,HIGH
26.4,3.49,1,3,1,13.8,71.5,MEDIUM
32.7,3.07,1,1,1,16.0,80.2,MEDIUM
28.7,2.93,1,1,1,9.4,72.8,MEDIUM
28.8,2.6,1,3,1,7.7,81.6,MEDIUM
28.3,2.59,1,1,2,13.0,78.1,MEDIUM
17.0,3.75,2,0,1,5.2,93.8,LOW
50.6,1.98,10,3,2,17.9,56.4,HIGH
71.2,1.8,3,3,4,27.1,46.7,HIGH
15.2,5.33,0,1,1,2.5,81.8,LOW
27.8,4.26,0,1,1,5.4,92.2,LOW
51.2,1.85,6,5,3,21.6,44.6,HIGH
26.8,3.53,3,3,2,7.3,72.5,MEDIUM
31.6,2.67,2,3,2,11.2,75.8,MEDIUM
21.3,3.54,0,0,1,6.7,96.4,LOW
29.0,3.73,2,3,2,10.1,70.2,MEDIUM
86.7,2.05,3,3,3,14.1,53.8,HIGH
37.6,3.43,2,2,2,15.0,71.3,MEDIUM
30.5,2.79,3,1,3,9.4,69.4,MEDIUM
74.4,1.43,5,5,3,22.0,65.1,HIGH
42.0,1.94,5,2,3,21.1,57.3,HIGH
58.3,1.78,7,2,3,19.8,54.5,HIGH
25.8,3.26,3,1,2,8.5,71.3,MEDIUM
63.9,1.88,8,6,3,11.0,46.6,HIGH
55.3,1.87,3,9,5,20.4,49.0,HIGH
18.0,3.54,0,1,1,3.2,92.6,LOW
19.2,5.24,0,1,1,1.5,85.0,LOW
60.7,1.77,8,2,3,22.4,35.7,HIGH
10.3,4.19,0,0,1,3.8,90.0,LOW
29.5,2.94,4,3,2,6.1,78.1,MEDIUM
61.5,1.92,6,4,4,11.1,50.1,HIGH
14.3,4.97,1,0,1,6.5,83.8,LOW
34.0,2.23,4,3,3,12.4,72.2,MEDIUM
38.1,2.81,2,2,2,9.6,77.3,MEDIUM
18.5,4.98,2,1,1,7.7,94.4,LOW
26.6,2.72,2,2,2,11.6,68.3,MEDIUM
23.9,3.51,3,1,1,11.4,74.0,MEDIUM
24.2,2.88,1,1,2,8.0,71.3,MEDIUM
24.0,4.64,1,0,1,4.6,86.6,LOW
24.9,4.42,0,1,1,4.5,81.7,LOW
59.8,1.88,11,3,3,25.9,50.0,HIGH
29.0,2.91,2,3,3,10.8,68.3,MEDIUM
18.2,4.13,0,1,1,4.8,93.7,LOW
45.4,2.09,5,8,3,14.8,52.9,HIGH
40.4,3.54,2,3,2,7.2,69.4,MEDIUM
22.0,2.95,2,1,2,10.2,75.0,MEDIUM
34.1,3.6,2,3,3,11.5,66.0,MEDIUM
5.0,3.76,2,1,1,5.4,91.5,LOW
15.9,4.67,1,0,2,4.5,86.9,LOW
33.6,3.54,3,1,2,9.2,70.0,MEDIUM
32.1,2.71,4,1,3,6.6,72.9,MEDIUM
38.8,3.11,1,1,2,9.8,66.0,MEDIUM
14.5,4.98,0,0,1,8.0,95.0,LOW
34.8,2.88,2,3,3,6.2,66.6,MEDIUM
31.3,3.32,2,3,1,7.2,72.9,MEDIUM
66.4,2.7,3,6,2,28.8,56.0,HIGH
28.8,2.68,1,2,3,9.3,66.2,MEDIUM
25.4,3.66,0,0,2,6.6,89.0,LOW
30.1,3.15,1,1,2,11.9,75.1,MEDIUM
16.1,4.74,0,0,1,6.0,83.6,LOW
16.0,4.12,2,0,1,3.5,92.4,LOW
73.8,1.55,4,4,5,11.0,55.0,HIGH
24.1,3.32,2,2,3,11.3,78.4,MEDIUM
20.1,3.57,2,1,1,5.0,95.9,LOW
16.3,4.03,0,0,1,2.9,80.0,LOW
32.0,3.52,1,1,2,11.7,78.8,MEDIUM
22.8,4.47,1,0,1,3.3,94.9,LOW
21.2,3.75,0,1,1,3.2,87.2,LOW
32.5,3.23,4,3,2,9.1,66.0,MEDIUM
18.3,3.77,1,0,1,3.4,83.1,LOW
30.5,2.22,3,2,2,8.6,71.9,MEDIUM
57.4,1.8,7,6,3,33.2,62.8,HIGH
13.0,3.79,0,0,1,2.7,98.8,LOW
30.8,3.08,1,2,2,12.5,67.2,MEDIUM
34.0,2.47,1,2,1,10.0,77.5,MEDIUM
19.7,4.67,1,0,1,6.6,88.8,LOW
35.9,3.61,4,1,2,10.4,70.9,MEDIUM
31.6,2.5,3,1,2,9.2,74.0,MEDIUM
52.3,2.04,3,2,4,19.0,60.4,HIGH
18.8,3.22,1,1,2,4.8,88.5,LOW
11.0,3.57,0,1,1,6.3,84.7,LOW
16.8,4.6,0,0,1,3.5,91.2,LOW
19.9,4.07,0,0,1,7.1,93.8,LOW
46.1,1.32,9,8,2,34.3,62.7,HIGH
74.4,2.18,3,4,3,18.7,56.8,HIGH
18.3,3.49,1,1,1,3.9,94.7,LOW
34.1,3.06,4,1,2,9.4,66.0,MEDIUM
61.8,2.56,6,7,3,11.0,50.2,HIGH
21.0,4.05,1,0,1,3.5,87.2,LOW
24.3,3.94,0,0,1,3.2,84.7,LOW
31.7,3.19,2,1,1,8.1,67.5,MEDIUM
55.5,1.43,3,6,4,18.1,52.2,HIGH
18.1,4.64,1,1,1,4.4,93.8,LOW
50.2,1.91,4,3,5,22.4,58.4,HIGH
70.1,2.41,4,2,5,23.5,57.6,HIGH
16.2,4.59,0,1,1,6.3,90.5,LOW
15.3,4.51,0,1,1,3.5,88.5,LOW
49.8,1.56,9,3,2,12.9,68.0,HIGH
22.1,3.46,2,0,2,6.3,90.2,LOW
14.1,4.43,0,1,1,5.2,93.3,LOW
18.7,4.9,0,1,1,3.2,88.9,LOW
58.5,2.31,4,2,4,20.5,48.2,HIGH
21.7,4.41,2,1,1,4.7,90.7,LOW
15.8,4.52,0,0,1,3.5,90.8,LOW
32.7,2.87,2,1,2,10.8,70.9,MEDIUM
55.2,2.22,3,9,5,33.6,60.0,HIGH
34.3,2.73,2,1,2,8.0,80.5,MEDIUM
21.4,4.81,1,1,2,4.5,89.0,LOW
42.0,1.49,4,4,3,21.1,64.5,HIGH
72.3,1.4,9,2,4,27.2,51.2,HIGH
24.9,2.53,1,1,3,10.4,66.0,MEDIUM
53.6,1.84,4,3,3,17.8,45.4,HIGH
29.6,2.65,4,3,2,10.2,70.8,MEDIUM
51.2,2.23,3,6,4,17.2,42.3,HIGH
20.2,4.01,0,0,1,2.9,91.6,LOW
71.5,2.7,3,5,3,13.4,59.5,HIGH
21.7,5.15,0,1,1,3.8,87.6,LOW
30.0,3.21,4,1,1,12.6,67.4,MEDIUM
15.1,4.82,2,0,1,7.2,90.7,LOW
57.4,1.57,3,8,3,23.5,47.9,HIGH
52.3,1.4,4,3,2,30.2,68.0,HIGH
47.8,1.31,4,5,3,18.7,45.3,HIGH
30.4,3.72,4,1,3,11.1,77.9,MEDIUM
22.9,3.86,0,0,1,4.2,97.3,LOW
28.9,2.87,2,3,2,8.6,67.9,MEDIUM
17.7,4.18,2,0,1,4.7,92.2,LOW
16.6,4.09,0,1,1,3.1,93.1,LOW
20.9,4.52,0,1,1,2.7,81.8,LOW
46.4,2.55,5,4,3,22.7,43.2,HIGH
42.0,2.21,9,4,3,19.3,54.4,HIGH
19.0,3.63,1,1,1,5.1,95.5,LOW
28.9,3.01,2,1,1,7.9,79.6,MEDIUM
13.6,3.84,0,0,1,5.4,82.2,LOW
15.8,3.52,1,1,1,2.4,80.4,LOW
35.7,2.89,1,3,2,12.2,69.4,MEDIUM
30.5,3.31,1,3,2,12.8,68.1,MEDIUM
20.0,4.99,1,1,1,5.7,87.9,LOW
51.8,2.43,11,7,3,17.0,42.9,HIGH
54.2,1.89,3,4,4,21.1,60.4,HIGH
33.9,2.64,3,2,2,8.6,73.2,MEDIUM
22.8,3.79,0,1,1,6.5,82.6,LOW
37.4,3.8,4,2,2,10.9,66.0,MEDIUM
33.7,2.88,2,3,1,9.3,78.7,MEDIUM
31.1,3.66,1,3,2,8.3,71.0,MEDIUM
52.4,1.33,7,3,5,25.4,68.0,HIGH
60.2,2.42,4,2,4,16.2,44.0,HIGH
23.5,2.74,2,1,2,13.2,69.7,MEDIUM
78.4,1.55,3,4,4,18.1,57.5,HIGH
41.8,3.45,1,1,2,6.2,75.2,MEDIUM
68.6,1.47,6,4,3,26.0,43.8,HIGH
35.9,2.6,3,3,3,6.0,79.5,MEDIUM
24.5,3.48,1,0,1,7.1,90.1,LOW
33.6,2.94,3,2,2,9.9,82.9,MEDIUM
24.7,3.97,1,1,1,6.4,90.9,LOW
64.4,2.04,4,5,5,19.7,43.2,HIGH
36.0,2.61,4,2,2,10.8,69.3,MEDIUM
62.8,1.59,3,6,4,17.6,46.4,HIGH
40.5,2.88,2,3,2,12.2,78.4,MEDIUM
19.5,4.18,1,1,1,3.0,92.4,LOW
10.3,3.6,1,1,1,9.0,86.7,LOW
9.7,3.58,1,0,2,4.7,92.6,LOW
48.8,2.31,10,5,4,31.7,61.2,HIGH
12.1,3.84,1,0,1,5.6,88.1,LOW
65.7,2.32,3,5,4,27.0,40.8,HIGH
74.4,2.47,8,7,3,24.0,36.1,HIGH
33.8,2.77,2,2,1,10.3,69.0,MEDIUM
20.2,3.72,0,0,1,5.3,85.3,LOW
20.6,3.63,0,1,1,4.9,91.6,LOW
26.1,2.28,3,2,2,8.6,76.0,MEDIUM
42.0,1.4,7,4,4,23.1,47.6,HIGH
29.1,3.02,4,3,2,7.4,66.0,MEDIUM
43.8,2.32,3,3,2,13.1,56.9,HIGH
7.5,4.61,0,0,1,2.4,95.2,LOW
78.5,1.2,5,5,4,14.0,49.4,HIGH
15.5,5.11,0,1,1,1.8,95.7,LOW
18.7,4.62,0,0,2,5.5,84.4,LOW
24.3,3.58,1,1,2,4.1,91.0,LOW
23.7,3.22,4,1,2,10.5,70.2,MEDIUM
15.2,4.17,2,1,1,4.8,85.5,LOW
65.9,1.53,3,3,4,21.8,49.8,HIGH
34.7,3.8,1,1,2,11.1,70.0,MEDIUM
59.6,1.84,4,3,2,20.9,47.3,HIGH
27.6,2.67,2,3,2,6.0,78.4,MEDIUM
29.6,2.49,3,1,2,9.9,70.2,MEDIUM
61.4,2.31,7,5,3,25.6,48.3,HIGH
15.6,4.2,0,1,2,6.6,91.7,LOW
42.0,2.22,5,2,3,19.6,54.0,HIGH
22.0,3.0,1,0,1,7.0,84.8,LOW
51.6,1.64,7,4,4,17.0,35.3,HIGH
28.2,3.02,4,3,2,12.1,68.9,MEDIUM
19.5,3.94,0,0,1,7.8,89.7,LOW
44.2,1.23,6,5,3,28.7,68.0,HIGH
16.7,4.87,0,0,1,2.6,93.7,LOW
9.6,4.33,1,0,1,3.5,92.6,LOW
27.5,2.73,1,3,2,11.3,77.6,MEDIUM
42.0,2.32,5,5,4,20.6,47.7,HIGH
18.7,4.11,2,0,1,2.1,92.8,LOW
51.3,2.68,6,7,3,20.4,60.5,HIGH
17.3,4.0,1,0,1,4.1,90.6,LOW
35.0,3.52,1,1,2,11.6,80.1,MEDIUM
26.6,2.2,4,3,2,9.5,80.9,MEDIUM
30.6,2.69,2,3,3,10.7,71.1,MEDIUM
34.6,3.41,3,3,1,7.5,77.5,MEDIUM
42.0,3.38,2,3,2,9.4,81.2,MEDIUM
42.0,2.5,8,6,2,11.0,46.5,HIGH
80.8,2.2,7,3,4,32.3,52.0,HIGH
61.9,1.97,4,3,5,27.5,48.0,HIGH
33.1,2.85,3,1,2,13.9,80.5,MEDIUM
13.9,4.55,0,1,1,6.2,89.5,LOW
31.0,3.0,3,3,1,12.7,81.6,MEDIUM
28.5,3.14,2,1,2,9.7,74.4,MEDIUM
69.5,1.81,5,6,3,17.3,53.0,HIGH
34.3,2.5,1,1,1,9.2,70.2,MEDIUM
17.6,4.92,0,0,1,2.6,88.4,LOW
68.3,1.93,9,7,3,14.1,42.2,HIGH
31.9,2.72,2,2,1,11.4,68.8,MEDIUM
42.0,1.6,5,2,3,20.6,46.7,HIGH
59.9,2.31,3,3,5,17.1,59.4,HIGH
25.2,2.47,4,3,2,10.4,84.0,MEDIUM
53.1,2.18,7,5,4,24.0,45.5,HIGH
28.1,2.88,2,1,2,8.2,70.5,MEDIUM
49.7,1.11,4,9,4,11.5,47.3,HIGH
44.4,2.7,3,3,3,11.0,57.2,HIGH
22.7,5.01,1,0,1,6.0,86.9,LOW
26.0,2.98,3,3,3,8.3,79.2,MEDIUM
33.7,2.37,1,3,3,8.8,77.2,MEDIUM
81.4,2.01,3,4,2,12.1,32.9,HIGH
42.0,1.89,6,5,3,18.2,61.4,HIGH
54.1,2.23,5,5,4,22.3,32.0,HIGH
44.1,1.23,4,5,4,18.3,52.9,HIGH
32.3,3.2,2,3,3,10.7,78.5,MEDIUM
35.1,3.35,1,3,3,10.0,67.6,MEDIUM
21.9,4.75,1,0,1,2.1,92.8,LOW
16.7,4.41,1,0,1,5.0,100.0,LOW
40.3,2.82,2,1,2,9.7,73.0,MEDIUM
32.2,3.23,3,2,2,8.6,73.6,MEDIUM
34.6,2.2,2,3,2,6.8,69.7,MEDIUM
16.5,4.49,0,1,1,3.5,90.5,LOW
18.1,4.24,0,1,1,5.5,88.0,LOW
55.7,1.6,3,4,4,22.9,48.8,HIGH
30.9,2.74,4,3,3,10.1,70.3,MEDIUM
72.4,1.31,7,4,3,17.3,62.6,HIGH
51.7,2.31,3,3,2,11.0,56.2,HIGH
15.2,3.87,0,1,2,5.9,89.9,LOW
36.0,2.61,1,2,1,8.3,69.6,MEDIUM
49.2,2.66,6,3,4,17.6,42.1,HIGH
18.9,3.96,0,1,1,7.6,91.0,LOW
59.5,1.58,4,5,4,19.7,44.5,HIGH
29.3,3.33,3,2,1,12.9,75.0,MEDIUM
14.0,4.06,1,1,1,5.5,86.0,LOW
46.5,2.25,4,5,2,18.5,55.9,HIGH
20.5,4.51,0,0,1,1.5,98.9,LOW
67.9,1.51,6,5,3,11.3,47.7,HIGH
15.4,3.66,0,1,1,5.0,97.4,LOW
30.9,2.98,2,3,2,9.9,73.1,MEDIUM
17.1,4.51,0,1,1,3.0,89.3,LOW
24.0,2.69,1,3,2,11.6,67.8,MEDIUM
36.2,2.67,4,3,1,11.0,70.7,MEDIUM
58.8,1.76,5,4,4,25.6,53.7,HIGH
23.6,4.16,1,1,1,5.1,90.2,LOW
21.7,4.36,1,1,1,4.4,93.4,LOW
19.8,4.59,1,0,1,4.5,83.8,LOW
22.3,4.73,0,0,1,5.5,91.3,LOW
28.1,2.47,2,1,2,11.0,84.0,MEDIUM
19.5,4.16,0,1,1,2.2,88.6,LOW
42.0,1.41,6,3,4,21.9,44.0,HIGH
42.0,1.77,4,6,3,11.0,48.5,HIGH
37.4,3.01,3,1,2,12.1,73.1,MEDIUM
9.7,5.05,0,1,2,6.7,89.8,LOW
26.8,3.8,0,0,1,6.9,80.9,LOW
34.1,2.76,4,1,2,8.3,73.3,MEDIUM
70.6,2.1,5,2,3,20.5,47.4,HIGH
42.0,1.77,3,5,3,23.7,61.4,HIGH
24.6,3.07,1,3,1,6.0,84.0,MEDIUM
15.3,4.78,2,1,1,5.0,94.7,LOW
70.5,1.12,7,4,4,14.9,60.3,HIGH
72.5,1.7,6,5,3,12.4,51.1,HIGH
27.2,3.17,2,3,2,7.0,72.7,MEDIUM
37.1,3.11,2,3,2,12.6,79.8,MEDIUM
35.4,3.27,2,1,1,9.7,66.0,MEDIUM
62.2,1.93,9,4,2,31.5,45.0,HIGH
19.2,3.88,0,0,1,6.5,83.9,LOW
33.7,2.6,2,3,2,11.6,72.8,MEDIUM
60.7,1.88,5,5,5,23.9,51.4,HIGH
12.3,4.49,0,0,1,3.2,95.3,LOW
36.8,3.17,3,2,2,10.7,75.3,MEDIUM
53.9,1.24,7,7,5,11.0,64.2,HIGH
29.8,3.3,3,3,3,10.8,70.8,MEDIUM
32.0,3.34,4,3,1,7.0,72.2,MEDIUM
26.0,4.56,1,0,1,7.9,97.9,LOW
33.8,2.87,4,1,2,9.0,72.5,MEDIUM
34.1,3.36,3,2,2,8.2,74.2,MEDIUM
12.3,4.1,0,0,1,3.7,91.1,LOW
15.1,4.09,1,0,2,5.0,85.0,LOW
27.6,5.12,2,0,1,4.2,81.7,LOW
38.3,2.85,4,2,2,11.7,66.0,MEDIUM
38.8,3.28,1,1,2,7.7,70.7,MEDIUM
26.4,3.23,4,1,1,8.2,69.9,MEDIUM
44.2,2.09,7,6,3,23.1,44.6,HIGH
20.5,5.08,0,1,1,5.6,92.8,LOW
64.3,1.71,5,3,3,19.1,65.6,HIGH
29.8,2.96,1,1,1,9.4,82.0,MEDIUM
42.0,2.45,1,2,2,10.1,76.9,MEDIUM
23.9,2.2,2,2,1,10.1,66.0,MEDIUM
16.6,4.43,0,0,1,6.7,100.0,LOW
50.8,1.7,7,3,4,14.9,46.7,HIGH
19.6,4.52,1,0,1,5.4,95.2,LOW
17.6,4.09,2,0,1,9.0,88.4,LOW
26.3,3.86,1,0,1,3.8,87.6,LOW
19.1,4.08,2,1,1,5.4,93.5,LOW
69.9,2.45,6,5,5,15.1,41.0,HIGH
19.3,4.69,0,0,1,7.1,85.5,LOW
29.3,3.19,2,2,1,10.7,75.9,MEDIUM
66.7,1.94,3,4,4,12.9,51.6,HIGH
14.1,4.24,0,0,1,3.6,82.9,LOW
34.5,3.02,1,1,2,9.3,80.7,MEDIUM
16.6,3.8,1,0,1,5.5,89.6,LOW
17.2,4.48,0,0,1,3.2,84.5,LOW
19.4,4.49,1,0,1,1.8,83.9,LOW
42.0,2.7,6,6,4,27.3,44.1,HIGH
56.2,1.39,3,6,3,29.5,49.7,HIGH
54.7,1.77,7,3,4,27.8,42.0,HIGH
33.7,3.47,1,3,2,8.4,66.0,MEDIUM
36.5,3.41,2,1,2,7.7,69.0,MEDIUM
72.5,1.29,4,4,5,13.2,44.0,HIGH
50.7,2.1,7,4,2,21.0,68.0,HIGH
23.5,2.38,4,1,2,13.1,72.7,MEDIUM
33.3,3.42,2,3,2,13.0,72.3,MEDIUM
32.2,2.89,3,2,3,14.5,75.8,MEDIUM
22.0,3.34,2,1,2,9.4,76.1,MEDIUM
32.6,3.18,3,2,2,12.5,72.8,MEDIUM
55.1,1.9,7,6,3,11.3,51.5,HIGH
32.2,2.6,2,1,1,9.4,69.0,MEDIUM
54.0,1.36,6,5,3,21.2,52.9,HIGH
66.8,2.12,5,6,3,25.0,61.6,HIGH
28.4,3.21,4,3,2,7.5,78.7,MEDIUM
56.3,2.2,3,2,3,19.5,51.7,HIGH
30.7,3.45,2,2,3,8.5,81.1,MEDIUM
33.0,3.46,1,2,2,7.9,74.4,MEDIUM
16.8,4.82,1,1,1,5.9,86.3,LOW
25.6,4.73,0,0,1,7.1,94.0,LOW
34.6,3.55,4,1,1,9.4,66.0,MEDIUM
52.0,1.86,4,3,4,27.9,46.9,HIGH
29.7,2.67,4,2,1,6.2,80.3,MEDIUM
31.8,2.95,4,1,2,13.3,77.1,MEDIUM
31.0,2.51,1,3,1,6.0,76.3,MEDIUM
11.9,4.17,2,1,1,3.1,95.3,LOW
17.7,4.06,2,0,1,4.8,96.2,LOW
54.5,1.72,8,6,3,22.2,54.8,HIGH
16.1,4.47,0,0,1,1.5,94.8,LOW
74.0,2.43,5,4,3,24.7,51.5,HIGH
43.6,2.25,5,4,2,19.3,57.1,HIGH
20.0,4.24,0,0,2,5.4,90.1,LOW
53.6,1.1,3,4,2,27.9,50.0,HIGH
21.0,3.74,2,0,1,3.1,87.4,LOW
41.4,3.43,4,3,3,9.2,72.0,MEDIUM
13.0,4.66,2,1,1,7.3,86.5,LOW
28.2,2.37,2,2,2,6.0,79.0,MEDIUM
42.0,2.7,9,4,3,15.2,53.3,HIGH
69.0,1.28,9,2,3,13.8,63.1,HIGH
20.9,3.64,0,0,1,5.9,84.7,LOW
30.6,3.29,4,1,3,9.7,74.5,MEDIUM
56.1,2.46,5,5,2,25.2,60.5,HIGH
10.3,4.38,2,1,1,6.3,89.3,LOW
51.3,1.98,4,4,3,22.1,49.7,HIGH
28.6,3.32,3,2,2,9.0,77.4,MEDIUM
28.0,2.88,2,3,2,11.6,78.7,MEDIUM
17.0,4.02,0,1,1,2.5,87.9,LOW
26.3,3.25,4,2,3,10.7,74.4,MEDIUM
15.7,3.93,0,0,1,7.5,80.0,LOW
67.4,1.58,7,7,3,20.1,38.9,HIGH
34.3,3.67,3,3,3,9.8,76.3,MEDIUM
19.3,4.62,1,0,1,8.0,92.1,LOW
33.5,2.93,3,2,3,8.7,80.9,MEDIUM
43.2,1.14,6,2,3,16.1,57.5,HIGH
25.2,4.38,2,1,2,7.4,91.0,LOW
24.4,3.25,4,1,2,7.5,66.0,MEDIUM
42.9,2.21,7,6,5,24.8,48.5,HIGH
29.7,3.07,2,2,1,6.0,73.2,MEDIUM
32.3,3.11,2,3,2,10.5,71.5,MEDIUM
11.6,3.9,0,1,1,4.4,82.0,LOW
70.8,1.94,8,2,3,26.6,61.6,HIGH
18.4,3.81,2,1,1,6.6,90.9,LOW
66.2,1.56,8,2,2,13.0,68.0,HIGH
23.0,2.74,2,2,2,9.5,81.5,MEDIUM
51.5,2.3,3,6,2,22.3,44.8,HIGH
40.3,3.16,2,2,2,6.4,68.5,MEDIUM
56.9,1.91,6,3,3,23.3,68.0,HIGH
29.4,3.23,4,2,3,13.2,77.4,MEDIUM
27.3,4.4,0,1,1,6.3,94.8,LOW
16.9,4.56,1,0,1,1.9,89.7,LOW
17.9,4.06,0,0,1,7.3,93.9,LOW
60.2,2.09,6,2,3,30.4,44.3,HIGH
33.3,3.71,3,3,2,10.0,76.0,MEDIUM
22.0,2.92,2,3,2,10.3,81.7,MEDIUM
13.1,3.54,2,0,1,5.4,94.2,LOW
30.3,3.14,1,3,2,7.2,72.4,MEDIUM
47.1,2.7,6,4,3,22.9,42.5,HIGH
15.2,3.87,1,1,1,3.7,94.5,LOW
27.0,2.56,2,2,2,8.7,66.0,MEDIUM
42.0,1.01,5,4,5,23.3,58.1,HIGH
29.2,3.8,1,3,2,8.4,78.1,MEDIUM
49.7,1.53,3,3,2,19.4,61.0,HIGH
36.9,3.37,2,1,1,9.3,76.1,MEDIUM
42.0,1.71,7,3,3,19.4,67.3,HIGH
60.3,2.08,3,5,3,21.6,43.8,HIGH
30.7,2.27,2,1,2,7.3,73.2,MEDIUM
28.5,3.05,2,3,1,7.5,72.8,MEDIUM
17.9,5.2,2,0,2,7.0,95.9,LOW
15.0,4.19,1,1,1,4.2,80.0,LOW
19.3,4.41,1,1,1,6.9,92.8,LOW
58.1,2.7,3,5,3,23.6,54.7,HIGH
14.0,4.46,1,0,1,4.4,91.0,LOW
74.5,1.87,3,4,3,20.8,46.7,HIGH
14.8,4.12,2,0,1,5.4,89.3,LOW
42.0,2.43,10,7,2,15.2,49.8,HIGH
34.5,3.8,1,1,2,13.0,72.9,MEDIUM
27.4,3.04,1,2,2,12.6,69.7,MEDIUM
65.9,1.39,6,4,3,23.9,52.2,HIGH
20.2,4.22,0,1,1,5.3,92.0,LOW
54.0,1.7,7,6,2,21.7,47.4,HIGH
18.9,4.85,1,0,2,5.5,93.9,LOW
31.3,2.51,1,3,2,8.5,76.9,MEDIUM
19.0,3.75,0,0,1,9.0,81.9,LOW
17.8,4.54,2,1,1,4.2,88.5,LOW
40.7,3.39,1,2,2,11.4,74.5,MEDIUM
73.4,2.34,4,4,3,22.3,54.3,HIGH
76.4,1.91,5,2,3,27.3,42.3,HIGH
28.0,4.15,0,1,1,4.9,98.9,LOW
